,area,living,layout,floor,allfloor,price
11,58.2,,4房2廳2衛,2,14,"58,000"
12,20.2,,2房2廳1衛,5,7,"42,000"
13,16.6,,2房2廳1衛,6,9,"42,000"
14,37.8,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,12,13,"68,000"
15,60.8,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,4,9,"118,000"
16,80.3,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,13,14,"218,000"
17,62.4,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,14,"119,990"
18,71.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,5,12,"115,000"
19,60.2,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"70,000"
20,66.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,2,7,"65,000"
21,52.2,"depart,advstore,market,park,school,hospital",4房2廳2衛,3,7,"70,000"
22,54.2,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,11,12,"79,000"
23,37.8,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,12,"61,000"
24,80.9,"depart,advstore,market,night,park,school,hospital",3房2廳3衛,15,19,"119,990"
25,79.9,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,8,13,"190,000"
26,78.6,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,17,19,"79,900"
27,27.6,"depart,advstore,market,night,park,school,hospital",3房2廳1衛,2,12,"48,000"
28,42.6,"depart,advstore,market,park,school,hospital",4房2廳2衛,6,7,"50,000"
29,42.4,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,5,6,"59,000"
0,37.8,,3房2廳2衛,6,11,"79,000"
1,50.0,"depart,advstore,market,night,park,school,hospital",3房3廳3衛,7,7,"89,000"
2,58.2,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,11,21,"150,000"
3,44.3,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,4,7,"56,000"
4,57.9,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,8,12,"95,000"
5,46.5,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,6,"65,000"
6,68.4,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,13,15,"130,000"
7,41.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,9,14,"55,500"
8,25.7,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,8,9,"50,000"
9,32.0,"depart,advstore,market,park,school,hospital",2房1廳2衛,2,15,"63,000"
10,23.7,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,1,5,"38,000"
11,22.6,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,3,9,"42,000"
12,58.7,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,8,19,"60,000"
13,60.2,,4房2廳2衛,7,19,"69,800"
14,22.7,"depart,advstore,market,night,school,hospital",2房2廳1衛,4,12,"33,000"
15,41.5,"advstore,market,night,park,school,hospital",3房2廳2衛,9,14,"62,000"
16,27.5,"depart,advstore,market,park,school,hospital",2房1廳1衛,11,12,"45,000"
17,28.2,"depart,advstore,market,night,park,school,hospital",3房1廳1衛,2,25,"42,000"
18,28.2,"advstore,market,night,park,school,hospital",3房2廳1衛,2,25,"42,000"
19,36.9,,3房2廳2衛,4,13,"42,000"
20,33.2,"depart,advstore,market,night,park",3房2廳2衛,2,12,"48,000"
21,60.0,"depart,advstore,market,park,school,hospital",3房2廳2衛,4,15,"58,000"
22,48.0,"advstore,market,night,park,school,hospital",4房3廳2衛,4,5,"65,000"
23,32.4,,1房2廳1衛,16,17,"45,000"
24,41.6,,4房2廳2衛,7,12,"50,000"
25,27.4,,2房2廳1衛,11,14,"35,000"
26,41.6,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"50,000"
27,85.4,"advstore,market,night,park,school,hospital",6房3廳3衛,9,9,"120,000"
28,85.4,"advstore,market,night,park,school,hospital",6房3廳3衛,9,9,"120,000"
29,60.2,"advstore,market,night,park,school,hospital",3房2廳2衛,7,19,"70,000"
0,60.2,"advstore,market,night,park,school,hospital",3房2廳2衛,7,19,"70,000"
1,26.9,"depart,advstore,market,park,school,hospital",2房2廳1衛,2,6,"50,000"
2,26.9,"depart,advstore,market,park,school,hospital",2房2廳1衛,2,6,"50,000"
3,72.2,"advstore,market,night,park,school",3房2廳2衛,5,7,"84,000"
4,72.2,"advstore,market,night,park,school",3房2廳2衛,5,7,"84,000"
5,47.8,"depart,advstore,park,school,hospital",3房2廳2衛,6,10,"86,000"
6,41.5,"advstore,market,night,park,school,hospital",3房2廳2衛,9,14,"55,500"
7,41.5,"advstore,market,night,park,school,hospital",3房2廳2衛,9,14,"55,500"
8,36.7,"advstore,night,park,school,hospital",3房2廳2衛,5,12,"62,000"
9,41.6,"advstore,park",4房2廳2衛,14,14,"45,000"
10,36.7,"advstore,night,park,school,hospital",3房2廳2衛,5,12,"62,000"
11,27.2,"advstore,market,park,school",1房2廳1衛,4,7,"68,000"
12,58.7,"advstore,market,park,school",3房2廳2衛,8,19,"58,000"
13,58.4,"advstore,park,school",3房2廳2衛,6,7,"60,000"
14,58.4,"advstore,park,school",3房2廳2衛,6,7,"60,000"
15,71.3,"advstore,park",1房2廳2衛,7,13,"120,000"
16,71.3,"advstore,park",1房2廳2衛,7,13,"120,000"
17,28.4,"advstore,market,park,school",2房2廳1衛,3,10,"38,000"
18,23.7,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,1,5,"38,000"
19,20.0,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,9,"50,000"
20,43.3,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,2,7,"65,000"
21,41.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,5,7,"68,000"
22,26.9,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,3,12,"45,800"
23,43.1,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,12,14,"39,800"
24,48.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,2,4,"68,000"
25,46.6,,4房2廳2衛,2,14,"65,000"
26,34.5,,2房2廳2衛,5,5,"32,000"
27,28.2,"depart,advstore,market,night,park,school,hospital",3房2廳1衛,2,25,"42,000"
28,24.9,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,10,14,"41,000"
29,54.6,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,13,14,"85,000"
0,15.5,"advstore,market,night,park,school,hospital",2房2廳1衛,7,7,"40,000"
1,7.2,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,2,7,"32,000"
2,59.4,"depart,advstore,park,school",4房2廳2衛,7,25,"100,000"
3,9.2,"depart,advstore,market,park,school,hospital",2房1廳1衛,100,7,"29,800"
4,19.2,"advstore,park,school,hospital",2房2廳1衛,4,14,"36,000"
5,48.6,"depart,advstore,market,night,park,school",4房2廳2衛,8,12,"72,000"
6,20.0,"advstore,market,night,park,school",2房2廳1衛,3,15,"47,000"
7,108.0,"depart,advstore,market,night,park,school,hospital",4房2廳4衛,6,15,"220,000"
8,68.4,"advstore,market,park,school",4房2廳2衛,13,15,"130,000"
9,14.8,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,13,17,"30,000"
10,37.8,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,6,11,"79,000"
11,28.2,"depart,advstore,market,night,park,school,hospital",3房2廳1衛,2,25,"42,000"
12,60.7,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,6,18,"128,000"
13,69.8,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,11,25,"90,000"
14,35.0,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,9,12,"33,000"
15,45.8,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,5,12,"49,000"
16,36.0,"advstore,park,school",3房2廳2衛,4,4,"36,000"
17,53.6,"advstore,market,park,school",7房3廳4衛,1,5,"130,000"
18,25.0,"advstore,market,night,park,school",2房1廳1衛,100,7,"27,000"
19,16.6,"advstore,park,school",2房2廳1衛,6,9,"42,000"
20,40.6,"advstore,park,school",3房2廳3衛,5,5,"50,000"
21,38.4,"advstore,park,school",3房2廳2衛,5,5,"40,000"
22,38.1,"advstore,park,school",4房2廳2衛,2,7,"65,000"
23,36.8,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,13,14,"108,000"
24,29.7,"advstore,park,school",3房2廳2衛,12,12,"39,000"
25,35.0,,3房2廳2衛,5,12,"63,000"
26,24.4,"advstore,market,night,park,school",2房2廳1衛,3,6,"45,000"
27,24.4,"advstore,market,night,park,school",2房2廳1衛,3,6,"45,000"
28,80.9,"advstore,market,night,park,school,hospital",3房2廳3衛,15,19,"119,990"
29,80.9,"advstore,market,night,park,school,hospital",3房2廳3衛,15,19,"119,990"
0,19.2,"depart,advstore,school,hospital",2房2廳1衛,4,14,"36,000"
1,30.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,7,7,"52,800"
2,56.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,6,7,"66,000"
3,62.4,"depart,advstore,night,park,school,hospital",3房2廳2衛,10,14,"119,990"
4,25.0,"advstore,market,night,park,school,hospital",2房1廳1衛,8,15,"42,000"
5,12.4,"advstore,market,night,park,school,hospital",1房1廳1衛,10,13,"29,000"
6,68.0,,4房2廳2衛,13,15,"130,000"
7,54.0,,3房2廳2衛,4,15,"58,000"
8,36.0,,3房2廳1衛,7,7,"38,000"
9,51.0,,4房2廳2衛,7,7,"55,000"
10,45.0,"advstore,night,school",4房2廳2衛,5,12,"49,000"
11,27.0,,3房1廳1衛,2,12,"48,000"
12,20.0,,2房2廳2衛,11,12,"48,000"
13,37.8,,2房2廳2衛,12,13,"68,000"
14,41.5,,4房2廳2衛,7,12,"50,000"
15,19.7,advstore,2房1廳1衛,7,11,"42,000"
16,70.0,,3房2廳2衛,2,10,"60,000"
17,16.0,"advstore,school,hospital",2房2廳1衛,6,9,"42,000"
18,72.0,"park,school",2房2廳3衛,6,7,"95,000"
19,62.0,"advstore,market,park,school,hospital",3房2廳3衛,8,10,"120,000"
20,37.8,,3房2廳2衛,10,13,"65,000"
21,20.0,,2房2廳1衛,5,7,"42,000"
22,23.0,,2房1廳1衛,6,12,"45,000"
23,34.1,"advstore,market,night,park,school,hospital",3房2廳1衛,3,19,"55,000"
24,36.6,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,2,5,"42,000"
25,16.2,"depart,advstore,park,school,hospital",2房1廳1衛,10,12,"48,000"
26,28.7,"advstore,market,park,school",2房1廳1衛,6,12,"45,000"
27,27.0,,2房2廳1衛,3,11,"48,000"
28,162.8,,開放式格局,17,18,"320,000"
29,48.8,"depart,advstore,park,school",3房2廳2衛,10,12,"42,000"
0,15.2,"advstore,night,park,school",2房1廳1衛,4,11,"33,000"
1,77.9,"depart,advstore,park,school,hospital",4房2廳2衛,5,7,"112,000"
2,58.7,"depart,advstore,park,school,hospital",3房2廳2衛,8,19,"60,000"
3,52.2,"depart,advstore,market,park,school,hospital",4房2廳2衛,2,7,"69,000"
4,22.4,"depart,advstore,park,school,hospital",2房2廳2衛,8,12,"60,000"
5,21.7,"advstore,market,night,park,school,hospital",2房1廳1衛,11,14,"45,000"
6,38.7,"advstore,market,night,park,school,hospital",3房2廳2衛,5,12,"60,000"
7,26.1,"advstore,market,park,school",3房2廳2衛,11,14,"40,000"
8,86.6,"advstore,market,park,school,hospital",4房2廳3衛,5,11,"125,000"
9,69.8,"advstore,market,night,park,school",4房2廳2衛,11,25,"90,000"
10,30.7,"advstore,market,park",3房1廳2衛,2,5,"35,000"
11,15.5,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,7,7,"40,000"
12,68.3,"advstore,market,night,park,school",4房2廳2衛,13,15,"130,000"
13,55.2,"depart,advstore,market,park,school,hospital",4房2廳2衛,11,16,"52,000"
14,62.8,"advstore,market,night,park,school,hospital",4房2廳2衛,12,14,"85,000"
15,20.0,,2房2廳1衛,2,5,"38,000"
16,41.6,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"49,999"
17,16.2,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,10,12,"47,999"
18,48.7,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,8,12,"71,999"
19,19.7,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,7,11,"39,999"
20,80.9,"depart,advstore,market,night,park,school,hospital",3房2廳3衛,15,19,"119,989"
21,47.5,"depart,advstore,market,park,school,hospital",4房2廳2衛,2,4,"60,000"
22,15.0,,2房1廳1衛,6,6,"18,000"
23,75.7,"advstore,park,school",4房2廳2衛,3,20,"125,000"
24,37.1,"advstore,park",2房2廳2衛,4,7,"39,800"
25,35.0,"advstore,park",4房2廳2衛,5,12,"49,000"
26,41.6,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"49,999"
27,30.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,3,4,"35,000"
28,28.2,"depart,advstore,market,night,park,school,hospital",3房1廳1衛,2,25,"41,999"
29,65.9,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,17,19,"79,999"
0,17.0,"advstore,market,night,park,school,hospital",2房1廳1衛,6,12,"28,000"
1,33.0,"depart,advstore,market,park,school,hospital",3房2廳2衛,10,12,"46,000"
